Episode, (Transfer RGB), (Transfer RGBD)
357,9.09E-01,7.60E+00
358,2.16E-01,5.02E+00
359,6.48E+00,6.89E+00
360,2.09E+01,1.24E+01
361,2.09E+01,8.86E+00
362,2.09E+01,1.25E+01
363,2.09E+01,7.20E+00
364,2.92E-01,7.07E+00
365,3.93E+00,4.09E+00
366,9.59E-02,8.43E+00
367,6.24E-01,3.76E+00
368,1.47E+00,9.04E+00
369,6.75E+00,7.47E+00
370,3.17E-01,5.66E+00
371,4.46E-01,6.18E+00
372,1.38E+01,6.09E+00
373,1.05E+01,6.97E+00
374,8.51E+00,1.69E+01
375,1.84E-01,1.69E+01
376,1.14E+01,1.69E+01
377,7.17E+00,1.69E+01
378,1.42E-01,6.98E+00
379,2.90E+00,1.86E+00
380,1.23E+01,1.14E+01
381,5.51E+00,1.01E+01
382,1.37E+01,9.22E+00
383,1.37E+01,9.35E+00
384,6.39E+00,9.34E+00
385,6.39E+00,1.07E+01
386,2.85E-01,8.48E+00
387,1.37E+00,6.90E+00
388,2.37E+00,6.14E+00
389,5.01E-01,5.39E+00
390,1.43E+00,7.57E+00
391,8.91E-01,7.30E+00
392,1.39E-01,7.77E+00
393,2.14E-01,1.50E+00
394,6.56E-01,1.21E+00
395,9.34E-01,1.63E+00
396,3.97E-01,1.21E+00
397,6.58E-01,1.94E+00
398,3.21E-01,2.57E+00
399,5.87E-01,8.78E-01
400,9.36E-01,2.72E+00
401,1.36E-01,1.46E+00
402,9.29E-02,2.37E+00
403,3.27E-01,1.62E+00
404,1.90E-01,2.70E+00
405,7.35E-02,1.15E+00
406,2.47E-01,1.40E+00
407,4.81E-01,1.87E+00
408,3.74E-01,2.14E+00
409,3.12E-01,2.33E+00
410,2.85E-01,1.54E+00
411,1.44E-01,1.86E+00
412,9.85E-01,2.46E+00
413,1.57E+00,9.45E-01
414,1.31E+00,8.11E-01
415,1.63E-01,1.45E+00
416,1.08E+00,1.08E+00
417,5.56E-01,2.27E+00
418,1.85E-01,1.07E+00
419,1.48E-01,2.28E+00
420,7.08E-02,2.25E+00
421,1.20E+00,1.13E+00
422,1.19E+00,1.09E+00
423,1.29E+00,2.50E+00
424,1.82E-01,1.90E+00
425,2.80E-01,1.23E+00
426,1.20E-01,2.43E+00
427,1.08E+00,1.90E+00
428,1.69E-01,1.41E+00
429,2.92E-01,9.25E-01
430,2.96E-01,1.75E+00
431,1.95E+00,1.73E+00
432,1.85E-01,1.88E+00
433,2.47E-01,2.01E+00
434,7.63E-01,1.42E+00
435,3.22E-01,1.78E+00
436,2.01E+00,1.98E+00
437,2.15E-01,2.29E+00
438,1.19E-01,2.93E+00
439,6.51E-01,4.97E-01
440,1.30E-01,2.14E+00
441,7.39E-02,1.08E+00
442,9.29E-02,9.02E-01
443,9.64E-01,1.43E+00
444,1.76E+00,2.22E+00
445,1.13E-01,1.69E+00
446,1.49E-01,1.52E+00
447,2.18E+00,1.48E+00
448,2.84E+00,1.14E+00
449,1.83E+00,2.51E+00
450,6.74E-01,2.28E+00
451,1.76E+00,2.45E+00
452,2.40E-01,2.10E+00
453,1.53E+00,1.75E+00
454,7.19E-01,1.94E+00
455,2.06E+00,1.48E+00
456,1.98E+00,8.70E-01
457,1.30E+00,8.39E-01
458,3.00E-01,1.99E+00
459,2.02E+00,1.84E+00
460,4.53E-01,1.00E+00
461,6.68E-02,1.46E+00
462,2.85E-01,2.02E+00
463,1.49E+00,1.60E+00
464,1.48E+00,1.38E+00
465,1.48E+00,6.73E-01
466,6.90E+00,1.87E+00
467,2.21E+00,1.90E+00
468,1.50E-01,2.02E+00
469,1.70E+01,1.78E+00
470,1.70E+01,9.15E-01
471,1.70E+01,1.13E+00
472,1.48E+01,8.02E-01
