Episode, (Transfer RGB), (Transfer RGBD), (Transfer RGB)/episode, (Transfer RGBD)/episode,,,,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
240,4.84E+03,7.09E+03,7.00E+00,2.00E+01,,,,,,240,7,20
241,4.85E+03,7.10E+03,7.00E+00,2.00E+00,,,,,,241,7,2
242,4.86E+03,7.10E+03,8.00E+00,0.00E+00,,,,,,242,8,0
243,4.87E+03,7.10E+03,1.00E+01,5.00E+00,,,,,,243,10,5
244,4.88E+03,7.11E+03,1.00E+01,6.00E+00,,,,,,244,10,6
245,4.88E+03,7.11E+03,2.00E+00,0.00E+00,,,,,,245,2,0
246,4.88E+03,7.11E+03,1.00E+00,0.00E+00,,,,,,246,1,0
247,4.88E+03,7.13E+03,2.00E+00,2.60E+01,,,,,,247,2,26
248,4.90E+03,7.15E+03,1.10E+01,1.50E+01,,,,,,248,11,15
249,4.90E+03,7.15E+03,0.00E+00,0.00E+00,,,,,,249,0,0
250,4.90E+03,7.16E+03,0.00E+00,1.50E+01,,,,,,250,0,15
251,4.90E+03,7.19E+03,0.00E+00,2.40E+01,,,,,,251,0,24
252,4.90E+03,7.22E+03,9.00E+00,3.30E+01,,,,,,252,9,33
253,4.91E+03,7.24E+03,1.00E+00,2.20E+01,,,,,,253,1,22
254,4.92E+03,7.26E+03,1.00E+01,2.10E+01,,,,,,254,10,21
255,4.92E+03,7.28E+03,9.00E+00,2.10E+01,,,,,,255,9,21
256,4.93E+03,7.30E+03,7.00E+00,1.70E+01,,,,,,256,7,17
257,4.94E+03,7.32E+03,8.00E+00,1.80E+01,,,,,,257,8,18
258,4.94E+03,7.34E+03,3.00E+00,1.90E+01,,,,,,258,3,19
259,4.94E+03,7.36E+03,0.00E+00,2.20E+01,,,,,,259,0,22
260,4.94E+03,7.39E+03,0.00E+00,2.60E+01,,,,,,260,0,26
261,4.94E+03,7.40E+03,2.00E+00,9.00E+00,,,,,,261,2,9
262,4.94E+03,7.40E+03,0.00E+00,0.00E+00,,,,,,262,0,0
263,4.94E+03,7.40E+03,0.00E+00,0.00E+00,,,,,,263,0,0
264,4.94E+03,7.40E+03,0.00E+00,0.00E+00,,,,,,264,0,0
265,4.95E+03,7.44E+03,7.00E+00,4.60E+01,,,,,,265,7,46
266,4.95E+03,7.45E+03,0.00E+00,1.20E+01,,,,,,266,0,12
267,4.95E+03,7.48E+03,1.00E+00,2.20E+01,,,,,,267,1,22
268,4.96E+03,7.49E+03,6.00E+00,1.70E+01,,,,,,268,6,17
269,4.96E+03,7.50E+03,1.00E+00,1.10E+01,,,,,,269,1,11
270,4.96E+03,7.54E+03,0.00E+00,3.60E+01,,,,,,270,0,36
271,4.96E+03,7.56E+03,0.00E+00,2.10E+01,,,,,,271,0,21
272,4.96E+03,7.58E+03,3.00E+00,1.70E+01,,,,,,272,3,17
273,4.97E+03,7.59E+03,7.00E+00,1.10E+01,,,,,,273,7,11
274,4.97E+03,7.59E+03,2.00E+00,0.00E+00,,,,,,274,2,0
275,4.97E+03,7.60E+03,0.00E+00,8.00E+00,,,,,,275,0,8
276,4.98E+03,7.63E+03,6.00E+00,3.40E+01,,,,,,276,6,34
277,4.99E+03,7.64E+03,1.00E+01,9.00E+00,,,,,,277,10,9
278,4.99E+03,7.66E+03,0.00E+00,1.90E+01,,,,,,278,0,19
279,4.99E+03,7.67E+03,6.00E+00,1.40E+01,,,,,,279,6,14
280,5.00E+03,7.69E+03,3.00E+00,1.30E+01,,,,,,280,3,13
281,5.00E+03,7.72E+03,8.00E+00,3.00E+01,,,,,,281,8,30
282,5.01E+03,7.74E+03,2.00E+00,2.10E+01,,,,,,282,2,21
283,5.02E+03,7.75E+03,9.00E+00,1.20E+01,,,,,,283,9,12
284,5.02E+03,7.75E+03,3.00E+00,0.00E+00,,,,,,284,3,0
285,5.02E+03,7.76E+03,4.00E+00,8.00E+00,,,,,,285,4,8
286,5.02E+03,7.79E+03,1.00E+00,3.10E+01,,,,,,286,1,31
287,5.03E+03,7.82E+03,6.00E+00,3.60E+01,,,,,,287,6,36
288,5.03E+03,7.86E+03,5.00E+00,3.30E+01,,,,,,288,5,33
289,5.04E+03,7.89E+03,5.00E+00,2.90E+01,,,,,,289,5,29
290,5.04E+03,7.91E+03,5.00E+00,2.90E+01,,,,,,290,5,29
291,5.05E+03,7.94E+03,2.00E+00,2.20E+01,,,,,,291,2,22
292,5.05E+03,7.95E+03,8.00E+00,1.70E+01,,,,,,292,8,17
293,5.06E+03,7.99E+03,6.00E+00,3.40E+01,,,,,,293,6,34
294,5.06E+03,8.02E+03,2.00E+00,3.10E+01,,,,,,294,2,31
295,5.06E+03,8.04E+03,0.00E+00,2.40E+01,,,,,,295,0,24
296,5.06E+03,8.08E+03,0.00E+00,3.80E+01,,,,,,296,0,38
297,5.06E+03,8.11E+03,1.00E+00,3.30E+01,,,,,,297,1,33
298,5.07E+03,8.13E+03,2.00E+00,1.20E+01,,,,,,298,2,12
299,5.07E+03,8.14E+03,1.00E+00,1.40E+01,,,,,,299,1,14
300,5.07E+03,8.17E+03,1.00E+00,2.70E+01,,,,,,300,1,27
301,5.07E+03,8.17E+03,1.00E+00,1.00E+00,,,,,,301,1,1
302,5.07E+03,8.17E+03,1.00E+00,0.00E+00,,,,,,302,1,0
303,5.07E+03,8.17E+03,1.00E+00,0.00E+00,,,,,,303,1,0
304,5.07E+03,8.17E+03,1.00E+00,3.00E+00,,,,,,304,1,3
305,5.07E+03,8.20E+03,0.00E+00,3.00E+01,,,,,,305,0,30
306,5.07E+03,8.22E+03,0.00E+00,1.50E+01,,,,,,306,0,15
307,5.07E+03,8.24E+03,2.00E+00,2.00E+01,,,,,,307,2,20
308,5.07E+03,8.26E+03,0.00E+00,2.30E+01,,,,,,308,0,23
309,5.07E+03,8.28E+03,0.00E+00,2.30E+01,,,,,,309,0,23
310,5.07E+03,8.32E+03,0.00E+00,3.50E+01,,,,,,310,0,35
311,5.08E+03,8.34E+03,2.00E+00,2.80E+01,,,,,,311,2,28
312,5.08E+03,8.36E+03,0.00E+00,1.40E+01,,,,,,312,0,14
313,5.08E+03,8.36E+03,2.00E+00,6.00E+00,,,,,,313,2,6
314,5.08E+03,8.37E+03,1.00E+00,9.00E+00,,,,,,314,1,9
315,5.08E+03,8.40E+03,1.00E+00,2.60E+01,,,,,,315,1,26
316,5.08E+03,8.42E+03,2.00E+00,2.10E+01,,,,,,316,2,21
317,5.08E+03,8.44E+03,0.00E+00,1.90E+01,,,,,,317,0,19
318,5.08E+03,8.46E+03,0.00E+00,2.10E+01,,,,,,318,0,21
319,5.08E+03,8.48E+03,0.00E+00,1.70E+01,,,,,,319,0,17
320,5.08E+03,8.48E+03,2.00E+00,3.00E+00,,,,,,320,2,3
321,5.08E+03,8.51E+03,0.00E+00,3.00E+01,,,,,,321,0,30
322,5.08E+03,8.52E+03,0.00E+00,1.10E+01,,,,,,322,0,11
323,5.09E+03,8.54E+03,2.00E+00,1.90E+01,,,,,,323,2,19
324,5.09E+03,8.56E+03,1.00E+00,1.80E+01,,,,,,324,1,18
325,5.09E+03,8.57E+03,1.00E+00,1.40E+01,,,,,,325,1,14
326,5.09E+03,8.58E+03,3.00E+00,7.00E+00,,,,,,326,3,7
327,5.09E+03,8.59E+03,1.00E+00,1.20E+01,,,,,,327,1,12
328,5.09E+03,8.60E+03,0.00E+00,1.00E+01,,,,,,328,0,10
329,5.09E+03,8.60E+03,1.00E+00,3.00E+00,,,,,,329,1,3
